step_id,step_name,failure_type,risk_level,rationale,mitigation
intake,Receive customer message,cascading_failure,high,Failure cascades to 11 downstream steps,Add per-step validation gate; implement circuit breaker pattern
log_interaction,Log interaction to CRM,cascading_failure,medium,Failure propagates to 2 downstream steps,Add output validation at this step; define a fallback branch for failure cases
log_interaction,Log interaction to CRM,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
log_interaction,Log interaction to CRM,metadata_inconsistency,medium,Step is marked reversible=true but description contains write/mutation keywords — reversibility claim may be incorrect,Verify that a genuine rollback path exists; add automated rollback test; set reversible=false if rollback is not implemented
log_interaction,Log interaction to CRM,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
log_interaction,Log interaction to CRM,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
log_interaction,Log interaction to CRM,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
log_interaction,Log interaction to CRM,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
resolve,Execute account resolution,cascading_failure,high,Failure cascades to 6 downstream steps,Add per-step validation gate; implement circuit breaker pattern
resolve,Execute account resolution,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
resolve,Execute account resolution,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
resolve,Execute account resolution,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
resolve,Execute account resolution,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
resolve,Execute account resolution,tool_selection_error,high,Step has 3 tools available — high risk of selecting wrong tool,Add tool-call logging; implement expected-tool assertions; consider restricting available tools per intent
respond,Generate customer response,cascading_failure,high,Failure cascades to 5 downstream steps,Add per-step validation gate; implement circuit breaker pattern
respond,Generate customer response,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
respond,Generate customer response,silent_failure,high,Customer-facing generated content may be plausible but functionally incorrect,Implement functional correctness evals (not just semantic); add sampling audit for human review
respond,Generate customer response,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
respond,Generate customer response,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
respond,Generate customer response,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
sentiment,Score customer sentiment,cascading_failure,high,Failure cascades to 9 downstream steps,Add per-step validation gate; implement circuit breaker pattern
sentiment,Score customer sentiment,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
sentiment,Score customer sentiment,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
sentiment,Score customer sentiment,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
update_crm,Update customer account status,cascading_failure,low,Failure affects 1 downstream step,Ensure the downstream step handles missing or malformed input gracefully
update_crm,Update customer account status,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
update_crm,Update customer account status,metadata_inconsistency,medium,Step is marked reversible=true but description contains write/mutation keywords — reversibility claim may be incorrect,Verify that a genuine rollback path exists; add automated rollback test; set reversible=false if rollback is not implemented
update_crm,Update customer account status,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
update_crm,Update customer account status,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
update_crm,Update customer account status,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
