step_id,step_name,failure_type,risk_level,rationale,mitigation
extract_details,Extract receipt details,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
extract_details,Extract receipt details,silent_failure,medium,Generated content may appear correct but contain factual errors,Add automated factual-consistency checks; route edge-case outputs to human review queue
extract_details,Extract receipt details,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
extract_details,Extract receipt details,sycophantic_confirmation,low,No upstream classified or looked-up data to blindly confirm,Ensure prompt instructs the model to flag uncertainty rather than assume correctness
notify_employee,Notify employee of payment,cascading_failure,high,Failure cascades to 4 downstream steps,Add per-step validation gate; implement circuit breaker pattern
notify_employee,Notify employee of payment,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
notify_employee,Notify employee of payment,silent_failure,high,Customer-facing generated content may be plausible but functionally incorrect,Implement functional correctness evals (not just semantic); add sampling audit for human review
notify_employee,Notify employee of payment,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
notify_employee,Notify employee of payment,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
notify_manager,Notify manager of approval,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
notify_manager,Notify manager of approval,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
notify_manager,Notify manager of approval,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
notify_manager,Notify manager of approval,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
payment,Execute reimbursement payment,cascading_failure,high,Failure cascades to 6 downstream steps,Add per-step validation gate; implement circuit breaker pattern
payment,Execute reimbursement payment,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
payment,Execute reimbursement payment,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
payment,Execute reimbursement payment,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
payment,Execute reimbursement payment,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
receipt_upload,Receive expense receipt,cascading_failure,high,Failure cascades to 10 downstream steps,Add per-step validation gate; implement circuit breaker pattern
update_hr_system,Update HR expense record,cascading_failure,medium,Failure propagates to 3 downstream steps,Add output validation at this step; define a fallback branch for failure cases
update_hr_system,Update HR expense record,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
update_hr_system,Update HR expense record,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
update_hr_system,Update HR expense record,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
update_hr_system,Update HR expense record,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
validate_policy,Validate against expense policy,cascading_failure,high,Failure cascades to 8 downstream steps,Add per-step validation gate; implement circuit breaker pattern
validate_policy,Validate against expense policy,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
validate_policy,Validate against expense policy,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
